lon,lat,age,plate_id,recon_lon,recon_lat,distance,sub_idx,trench_lon,trench_lat,conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,trench_norm,subducting_pid,trench_pid,dist_nearest_edge,dist_from_start,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,subduction_volume_km3y,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent,label
140.424,-6.892,17.0,615.0,137.458,-17.703,0.183,2175.0,148.16,-15.44,6.95,-61.92,6.1,117.11,0.19,256.14,922.0,853.0,7.41,7.41,3.27,-6.14,-2.78,5.43,-0.86,-55.38,0.49,-0.71,12.9,0.03,7.06,94.92,1.55,0
140.986,-4.334,9.0,698.0,139.234,-10.345,0.08,1528.0,140.3,-5.87,9.83,47.33,-6.69,-84.09,0.19,12.36,849.0,688.0,4.67,10.17,6.66,7.22,0.69,-6.65,-7.39,4.59,7.36,0.59,22.34,0.07,27.92,116.64,1.71,0
141.595,-6.97,16.0,615.0,138.828,-17.126,0.163,2333.0,148.29,-14.91,6.95,-61.92,6.1,117.16,0.19,256.49,922.0,853.0,7.12,7.12,3.27,-6.14,-2.78,5.43,-0.86,-55.78,0.48,-0.71,11.14,0.02,3.56,92.11,1.5,0
146.323,-7.573,77.0,698.0,138.763,-34.861,0.09,1701.0,141.7,-30.33,4.44,17.96,4.72,-115.68,0.18,42.71,780.0,678.0,0.09,0.09,4.22,1.37,-2.05,-4.25,-3.6,-52.74,2.18,-2.86,63.52,0.07,85.32,278.09,2.41,0
136.466,-3.42,223.0,698.0,109.331,-29.807,0.275,1403.0,127.54,-29.38,3.53,34.13,2.01,-104.07,0.19,277.2,919.0,801.0,13.25,15.66,2.92,1.98,-0.49,-1.95,-2.44,0.71,2.44,0.03,22.79,0.03,1.69,131.55,2.25,0
142.953,-4.322,93.0,698.0,132.638,-33.284,0.233,1922.0,147.83,-29.85,4.5,75.67,1.95,-156.47,0.04,235.73,901.0,869.0,0.02,0.02,1.11,4.36,-1.78,-0.78,3.65,100.61,-0.67,3.59,33.16,0.0,7.79,142.9,2.17,0
136.754,-4.713,197.0,615.0,103.604,-37.033,0.274,1367.0,123.45,-38.41,4.85,55.78,-4.27,-80.99,0.2,286.97,919.0,801.0,0.1,13.6,2.73,4.01,0.67,-4.22,-3.42,-3.65,3.42,-0.22,52.64,0.04,10.57,338.44,2.58,0
141.35,-4.686,192.0,698.0,107.614,-39.809,0.196,640.0,122.31,-40.31,4.9,88.59,-4.28,-45.74,0.2,254.24,919.0,801.0,0.1,0.1,0.12,4.9,2.99,-3.06,-3.63,30.44,3.13,1.84,60.29,0.0,17.02,385.24,2.7,0
141.771,-6.316,88.0,615.0,132.491,-35.352,0.258,1992.0,148.81,-29.71,5.48,75.83,1.9,-153.1,0.04,235.32,901.0,869.0,0.02,0.02,1.34,5.31,-1.69,-0.86,4.48,94.57,-0.36,4.46,39.07,0.0,9.22,164.07,2.26,0
149.696,-10.108,30.0,698.0,147.64,-26.016,0.034,1823.0,145.51,-26.49,5.29,-15.94,-4.05,-74.01,0.18,45.65,801.0,698.0,0.09,0.09,5.09,-1.45,1.12,-3.9,-8.2,-41.14,6.18,-5.39,12.33,0.04,16.48,204.56,1.69,0
142.795,-7.061,6.0,615.0,141.661,-11.123,0.073,826.0,144.47,-7.97,-2.35,-168.99,5.39,141.65,0.2,219.32,849.0,829.0,4.58,4.58,-2.31,-0.45,-4.22,3.34,7.15,156.95,-6.58,2.8,30.32,0.0,24.5,137.26,1.91,0
140.536,-4.451,180.0,615.0,107.649,-44.775,0.209,860.0,124.64,-45.53,8.59,59.28,5.55,-97.85,0.2,251.93,919.0,801.0,0.1,0.1,4.39,7.39,-0.76,-5.5,-4.11,27.37,3.65,1.89,75.62,0.08,24.91,300.16,2.78,0
139.12,-4.171,64.0,615.0,129.797,-33.05,0.142,1771.0,138.37,-29.53,-6.35,169.17,-8.72,-17.52,0.2,61.0,780.0,678.0,0.47,0.47,-6.24,1.19,8.32,-2.63,-2.53,-33.94,2.1,-1.41,85.14,0.0,18.76,869.87,2.63,0
134.543,-3.551,198.0,61501.0,102.188,-35.199,0.303,1372.0,123.67,-38.07,4.84,56.23,-4.27,-80.99,0.2,286.51,919.0,801.0,0.1,13.6,2.69,4.02,0.67,-4.22,-3.38,-3.46,3.38,-0.2,51.0,0.04,10.62,242.64,2.57,0
133.383,-3.33,21.0,61501.0,129.708,-16.785,0.101,993.0,129.65,-11.02,0.94,75.84,-7.06,10.01,0.19,359.11,801.0,669.0,0.1,0.1,0.23,0.91,6.96,1.23,-7.5,17.47,7.15,2.25,103.83,0.0,11.92,678.37,2.62,0
140.476,-5.301,75.0,615.0,130.877,-33.921,0.162,1572.0,140.75,-29.95,4.55,-7.81,2.53,-153.44,0.2,66.83,780.0,678.0,0.47,0.47,4.51,-0.62,-2.26,-1.13,-2.84,-37.66,2.25,-1.73,70.48,0.08,73.76,380.06,2.55,0
140.897,-3.232,54.0,698.0,136.14,-26.516,0.069,1931.0,138.39,-23.13,-12.47,-122.58,-14.75,39.44,0.2,29.21,780.0,678.0,4.41,4.41,-6.72,-10.51,11.39,9.37,-4.86,-12.87,4.74,-1.08,85.21,0.0,11.64,479.16,2.58,0
