lon,lat,age,plate_id,recon_lon,recon_lat,distance,sub_idx,trench_lon,trench_lat,conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,trench_norm,subducting_pid,trench_pid,dist_nearest_edge,dist_from_start,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,subduction_volume_km3y,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent
109.559,7.828,126.000,613.000,120.496,26.625,0.123,1428.000,128.190,25.350,16.530,-1.020,1.980,-114.970,0.190,281.610,926.000,735.000,3.700,3.700,16.520,-0.290,-0.830,-1.790,-15.800,-7.660,15.660,-2.110,113.860,0.350,6.320,164.580,2.770
112.457,-8.110,222.000,65702.000,117.894,2.509,0.017,2408.000,118.850,2.350,6.540,-45.240,-1.590,77.400,0.200,280.120,926.000,530.000,12.110,31.180,4.610,-4.640,0.350,1.550,-5.840,-31.850,4.960,-3.080,33.560,0.060,1.370,149.440,2.530
126.158,-4.579,118.000,681.000,103.371,-29.506,,,,,,,,,,,,,,,,,,,,,,,,,,,
110.413,-9.643,95.000,65702.000,110.998,-4.052,0.045,998.000,111.750,-1.570,7.610,-36.460,4.570,-158.350,0.190,17.060,926.000,614.000,0.860,11.800,6.120,-4.520,-4.240,-1.680,-6.440,-73.310,1.850,-6.170,29.110,0.070,1.810,78.850,2.130
126.807,-44.767,203.000,801.000,56.324,-64.861,,,,,,,,,,,,,,,,,,,,,,,,,,,
120.466,-7.432,186.000,668.000,105.801,-38.592,0.236,1304.000,122.890,-42.630,8.440,25.710,5.550,-132.900,0.200,289.070,919.000,801.000,0.100,13.600,7.600,3.660,-3.780,-4.060,-3.870,-6.150,3.850,-0.410,68.710,0.140,24.560,283.720,2.760
93.331,6.915,58.000,607.000,95.734,-2.211,0.074,148.000,98.080,1.300,10.910,-0.260,-1.560,44.710,0.190,34.220,501.000,67351.000,11.630,11.630,10.910,-0.050,1.110,1.100,-12.060,5.200,12.010,1.090,46.520,0.160,19.410,183.890,2.350
110.741,2.010,82.000,61401.000,114.040,1.674,0.021,1192.000,112.850,1.490,11.700,22.480,2.310,-161.130,0.190,260.630,926.000,614.000,4.340,4.340,10.810,4.480,-2.190,-0.750,-9.400,23.440,8.620,3.740,50.980,0.170,15.490,149.560,2.190
124.133,-1.619,12.000,670.000,126.492,-8.051,0.036,1184.000,126.260,-6.000,-1.110,90.580,-6.830,20.380,0.200,349.840,615.000,669.000,1.470,1.470,-0.010,1.110,6.410,2.380,-7.290,29.110,6.370,3.540,117.880,0.000,17.010,421.940,2.610
132.385,-9.670,43.000,801.000,123.825,-35.388,,,,,,,,,,,,,,,,,,,,,,,,,,,
129.554,-22.963,185.000,801.000,78.898,-52.494,,,,,,,,,,,,,,,,,,,,,,,,,,,
126.766,-14.048,223.000,801.000,95.272,-38.140,,,,,,,,,,,,,,,,,,,,,,,,,,,
141.285,-36.337,114.000,801.000,119.919,-65.189,0.181,2488.000,145.300,-66.930,12.420,13.660,4.440,148.440,0.150,274.510,983.000,833.000,15.280,24.830,12.070,2.930,-3.780,2.320,-9.770,32.250,8.270,5.220,47.100,0.140,44.050,93.240,2.340
125.775,-41.209,177.000,801.000,45.154,-62.683,,,,,,,,,,,,,,,,,,,,,,,,,,,
102.790,-2.926,64.000,673.000,106.790,0.010,0.079,226.000,105.080,-4.170,13.790,9.760,-1.070,19.600,0.190,21.390,501.000,67351.000,2.320,2.320,13.590,2.340,1.010,0.360,-14.850,10.560,14.590,2.720,20.680,0.130,4.710,77.120,2.140
124.287,8.737,125.000,674.000,134.185,-27.868,0.061,1594.000,137.910,-26.810,6.780,-71.910,10.480,113.980,0.180,252.930,926.000,609.000,11.030,17.900,2.110,-6.450,-4.260,9.580,3.770,122.060,-2.000,3.200,1.150,0.000,1.040,54.610,1.890
130.475,-39.147,215.000,801.000,81.921,-63.652,0.330,1995.000,128.940,-69.730,4.950,48.950,-5.160,-60.010,0.190,279.080,919.000,833.000,0.100,29.050,3.250,3.730,2.580,-4.470,-5.890,-7.240,5.840,-0.740,77.660,0.060,-0.000,146.310,0.760
174.887,-31.402,30.000,835.000,177.836,-42.626,0.033,1331.000,175.680,-43.720,0.000,0.000,-6.480,-81.380,0.180,54.530,801.000,842.000,4.300,4.300,0.000,0.000,0.970,-6.410,-6.480,-81.380,0.970,-6.410,35.190,0.000,8.010,309.500,2.150
137.801,-38.590,134.000,801.000,100.136,-69.242,0.217,2582.000,137.520,-72.480,15.930,-36.690,-2.750,32.020,0.170,275.390,919.000,833.000,10.910,26.250,12.770,-9.520,2.340,1.460,-17.120,-28.150,15.090,-8.080,79.600,0.220,5.650,156.150,2.720
127.510,-19.245,202.000,801.000,86.199,-45.533,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.898,-16.567,90.000,801.000,139.004,-45.032,0.206,2120.000,154.270,-41.090,4.300,43.660,1.840,165.070,0.180,273.050,901.000,869.000,0.090,12.560,3.110,2.970,-1.780,0.470,-3.690,68.880,1.330,3.450,36.350,0.040,6.800,138.290,2.140
112.096,-0.977,199.000,614.000,122.542,9.198,0.009,1695.000,123.040,9.300,12.010,-11.810,6.100,163.820,0.190,263.790,926.000,530.000,16.580,18.770,11.760,-2.460,-5.860,1.700,-5.950,-7.380,5.900,-0.760,92.920,0.230,2.300,176.750,2.060
125.264,-9.114,9.000,684.000,123.287,-15.349,0.087,2086.000,122.490,-10.410,6.150,22.770,-1.780,39.760,0.190,350.530,801.000,651.000,7.810,8.300,5.670,2.380,1.370,1.140,-7.860,26.770,7.020,3.540,126.930,0.120,14.690,755.400,2.670
130.830,-53.697,174.000,802.000,76.831,-53.922,,,,,,,,,,,,,,,,,,,,,,,,,,,
102.841,-6.815,1.000,68601.000,102.841,-6.954,0.001,478.000,102.890,-6.940,6.180,7.190,-1.540,-20.370,0.180,20.290,511.000,686.000,4.210,4.210,6.130,0.770,1.440,-0.530,-7.570,1.690,7.570,0.220,83.050,0.110,8.950,243.880,2.530
