lon,lat,age,plate_id,recon_lon,recon_lat,distance,sub_idx,trench_lon,trench_lat,conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,trench_norm,subducting_pid,trench_pid,dist_nearest_edge,dist_from_start,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,subduction_volume_km3y,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent
159.298,-22.500,14.000,869.000,159.045,-30.079,0.169,2110.000,162.340,-20.880,5.830,-24.350,4.870,153.700,0.170,212.550,922.000,853.000,0.090,21.650,5.310,-2.400,-4.370,2.160,-0.970,-14.880,0.940,-0.250,20.450,0.050,2.520,119.110,1.770
160.298,-22.500,14.000,869.000,160.105,-29.977,0.162,2110.000,162.340,-20.880,5.830,-24.350,4.870,153.700,0.170,212.550,922.000,853.000,0.090,21.650,5.310,-2.400,-4.370,2.160,-0.970,-14.880,0.940,-0.250,20.450,0.050,2.520,119.110,1.770
161.298,-22.500,14.000,869.000,161.164,-29.871,0.158,2110.000,162.340,-20.880,5.830,-24.350,4.870,153.700,0.170,212.550,922.000,853.000,0.090,21.650,5.310,-2.400,-4.370,2.160,-0.970,-14.880,0.940,-0.250,20.450,0.050,2.520,119.110,1.770
155.298,-21.500,14.000,801.000,154.675,-29.471,0.186,2090.000,158.790,-19.500,6.140,-9.900,5.210,168.460,0.180,200.030,922.000,853.000,3.720,18.010,6.050,-1.060,-5.100,1.040,-0.950,-1.240,0.950,-0.020,30.140,0.070,34.710,137.580,2.010
156.298,-21.500,14.000,866.000,155.738,-29.378,0.178,2094.000,159.550,-19.740,6.080,-8.360,5.140,169.950,0.190,198.150,922.000,853.000,2.970,18.760,6.010,-0.880,-5.060,0.900,-0.960,0.390,0.960,0.010,30.140,0.070,34.710,137.580,2.010
157.298,-21.500,14.000,866.000,156.799,-29.283,0.171,2110.000,162.340,-20.880,5.830,-24.350,4.870,153.700,0.170,212.550,922.000,853.000,0.090,21.650,5.310,-2.400,-4.370,2.160,-0.970,-14.880,0.940,-0.250,20.450,0.050,2.520,119.110,1.770
158.298,-21.500,14.000,866.000,157.860,-29.185,0.161,2110.000,162.340,-20.880,5.830,-24.350,4.870,153.700,0.170,212.550,922.000,853.000,0.090,21.650,5.310,-2.400,-4.370,2.160,-0.970,-14.880,0.940,-0.250,20.450,0.050,2.520,119.110,1.770
159.298,-21.500,14.000,869.000,158.919,-29.085,0.153,2110.000,162.340,-20.880,5.830,-24.350,4.870,153.700,0.170,212.550,922.000,853.000,0.090,21.650,5.310,-2.400,-4.370,2.160,-0.970,-14.880,0.940,-0.250,20.450,0.050,2.520,119.110,1.770
160.298,-21.500,14.000,869.000,159.976,-28.983,0.146,2110.000,162.340,-20.880,5.830,-24.350,4.870,153.700,0.170,212.550,922.000,853.000,0.090,21.650,5.310,-2.400,-4.370,2.160,-0.970,-14.880,0.940,-0.250,20.450,0.050,2.520,119.110,1.770
161.298,-21.500,14.000,869.000,161.033,-28.878,0.141,2110.000,162.340,-20.880,5.830,-24.350,4.870,153.700,0.170,212.550,922.000,853.000,0.090,21.650,5.310,-2.400,-4.370,2.160,-0.970,-14.880,0.940,-0.250,20.450,0.050,2.520,119.110,1.770
152.298,-20.500,14.000,801.000,151.376,-28.738,0.188,2071.000,155.280,-18.550,6.430,-6.860,5.520,171.650,0.170,198.370,922.000,853.000,7.190,14.540,6.380,-0.770,-5.460,0.800,-0.920,1.660,0.920,0.030,27.670,0.070,18.350,129.960,1.960
