lon,lat,age,plate_id,recon_lon,recon_lat,distance,sub_idx,trench_lon,trench_lat,conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,trench_norm,subducting_pid,trench_pid,dist_nearest_edge,dist_from_start,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,subduction_volume_km3y,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent
133.213,-3.124,90.000,61501.000,122.214,-32.370,,,,,,,,,,,,,,,,,,,,,,,,,,,
140.424,-6.892,17.000,615.000,137.458,-17.703,0.183,2175.000,148.160,-15.440,6.950,-61.920,6.100,117.110,0.190,256.140,922.000,853.000,7.410,7.410,3.270,-6.140,-2.780,5.430,-0.860,-55.380,0.490,-0.710,12.900,0.030,7.060,94.920,1.550
140.986,-4.334,9.000,698.000,139.234,-10.345,0.080,1528.000,140.300,-5.870,9.830,47.330,-6.690,-84.090,0.190,12.360,849.000,688.000,4.670,10.170,6.660,7.220,0.690,-6.650,-7.390,4.590,7.360,0.590,22.340,0.070,27.920,116.640,1.710
141.595,-6.970,16.000,615.000,138.828,-17.126,0.163,2333.000,148.290,-14.910,6.950,-61.920,6.100,117.160,0.190,256.490,922.000,853.000,7.120,7.120,3.270,-6.140,-2.780,5.430,-0.860,-55.780,0.480,-0.710,11.140,0.020,3.560,92.110,1.500
146.323,-7.573,77.000,698.000,138.763,-34.861,0.090,1701.000,141.700,-30.330,4.440,17.960,4.720,-115.680,0.180,42.710,780.000,678.000,0.090,0.090,4.220,1.370,-2.050,-4.250,-3.600,-52.740,2.180,-2.860,63.520,0.070,85.320,278.090,2.410
136.466,-3.420,223.000,698.000,109.331,-29.807,0.275,1403.000,127.540,-29.380,3.530,34.130,2.010,-104.070,0.190,277.200,919.000,801.000,13.250,15.660,2.920,1.980,-0.490,-1.950,-2.440,0.710,2.440,0.030,22.790,0.030,1.690,131.550,2.250
142.953,-4.322,93.000,698.000,132.638,-33.284,0.233,1922.000,147.830,-29.850,4.500,75.670,1.950,-156.470,0.040,235.730,901.000,869.000,0.020,0.020,1.110,4.360,-1.780,-0.780,3.650,100.610,-0.670,3.590,33.160,0.000,7.790,142.900,2.170
136.754,-4.713,197.000,615.000,103.604,-37.033,0.274,1367.000,123.450,-38.410,4.850,55.780,-4.270,-80.990,0.200,286.970,919.000,801.000,0.100,13.600,2.730,4.010,0.670,-4.220,-3.420,-3.650,3.420,-0.220,52.640,0.040,10.570,338.440,2.580
141.350,-4.686,192.000,698.000,107.614,-39.809,0.196,640.000,122.310,-40.310,4.900,88.590,-4.280,-45.740,0.200,254.240,919.000,801.000,0.100,0.100,0.120,4.900,2.990,-3.060,-3.630,30.440,3.130,1.840,60.290,0.000,17.020,385.240,2.700
141.771,-6.316,88.000,615.000,132.491,-35.352,0.258,1992.000,148.810,-29.710,5.480,75.830,1.900,-153.100,0.040,235.320,901.000,869.000,0.020,0.020,1.340,5.310,-1.690,-0.860,4.480,94.570,-0.360,4.460,39.070,0.000,9.220,164.070,2.260
149.696,-10.108,30.000,698.000,147.640,-26.016,0.034,1823.000,145.510,-26.490,5.290,-15.940,-4.050,-74.010,0.180,45.650,801.000,698.000,0.090,0.090,5.090,-1.450,1.120,-3.900,-8.200,-41.140,6.180,-5.390,12.330,0.040,16.480,204.560,1.690
142.795,-7.061,6.000,615.000,141.661,-11.123,0.073,826.000,144.470,-7.970,-2.350,-168.990,5.390,141.650,0.200,219.320,849.000,829.000,4.580,4.580,-2.310,-0.450,-4.220,3.340,7.150,156.950,-6.580,2.800,30.320,0.000,24.500,137.260,1.910
140.536,-4.451,180.000,615.000,107.649,-44.775,0.209,860.000,124.640,-45.530,8.590,59.280,5.550,-97.850,0.200,251.930,919.000,801.000,0.100,0.100,4.390,7.390,-0.760,-5.500,-4.110,27.370,3.650,1.890,75.620,0.080,24.910,300.160,2.780
139.120,-4.171,64.000,615.000,129.797,-33.050,0.142,1771.000,138.370,-29.530,-6.350,169.170,-8.720,-17.520,0.200,61.000,780.000,678.000,0.470,0.470,-6.240,1.190,8.320,-2.630,-2.530,-33.940,2.100,-1.410,85.140,0.000,18.760,869.870,2.630
134.543,-3.551,198.000,61501.000,102.188,-35.199,0.303,1372.000,123.670,-38.070,4.840,56.230,-4.270,-80.990,0.200,286.510,919.000,801.000,0.100,13.600,2.690,4.020,0.670,-4.220,-3.380,-3.460,3.380,-0.200,51.000,0.040,10.620,242.640,2.570
133.297,-3.451,135.000,61501.000,109.656,-34.363,,,,,,,,,,,,,,,,,,,,,,,,,,,
133.383,-3.330,21.000,61501.000,129.708,-16.785,0.101,993.000,129.650,-11.020,0.940,75.840,-7.060,10.010,0.190,359.110,801.000,669.000,0.100,0.100,0.230,0.910,6.960,1.230,-7.500,17.470,7.150,2.250,103.830,0.000,11.920,678.370,2.620
140.476,-5.301,75.000,615.000,130.877,-33.921,0.162,1572.000,140.750,-29.950,4.550,-7.810,2.530,-153.440,0.200,66.830,780.000,678.000,0.470,0.470,4.510,-0.620,-2.260,-1.130,-2.840,-37.660,2.250,-1.730,70.480,0.080,73.760,380.060,2.550
140.897,-3.232,54.000,698.000,136.140,-26.516,0.069,1931.000,138.390,-23.130,-12.470,-122.580,-14.750,39.440,0.200,29.210,780.000,678.000,4.410,4.410,-6.720,-10.510,11.390,9.370,-4.860,-12.870,4.740,-1.080,85.210,0.000,11.640,479.160,2.580
139.335,-3.675,15.000,698.000,136.473,-13.373,0.151,1180.000,140.440,-5.630,3.830,-65.930,-4.720,10.140,0.180,41.070,801.000,678.000,2.880,2.880,1.560,-3.500,4.650,0.830,-6.750,-22.080,6.260,-2.540,132.760,0.030,63.090,512.650,2.790
133.226,-2.016,77.000,61502.000,123.066,-31.007,0.269,1712.000,140.660,-28.410,4.580,-6.900,4.980,-143.380,0.200,68.200,780.000,678.000,2.230,2.230,4.550,-0.550,-4.000,-2.970,-3.550,-80.950,0.560,-3.500,66.570,0.080,90.900,270.260,2.530
142.443,-6.775,198.000,615.000,109.806,-40.696,0.191,649.000,123.670,-38.250,-4.840,91.250,-4.280,-45.740,0.200,251.410,919.000,801.000,0.100,0.100,-0.110,4.840,2.990,-3.060,-3.400,31.560,2.900,1.780,51.000,0.000,10.620,242.640,2.570
139.942,-3.556,213.000,698.000,111.855,-32.806,0.216,1338.000,126.570,-32.370,4.490,64.400,-4.140,-78.250,0.200,279.670,919.000,801.000,13.250,19.390,1.940,4.050,0.840,-4.050,-2.800,-0.190,2.800,-0.010,31.430,0.020,3.210,172.800,2.390
133.751,-1.990,170.000,61502.000,102.003,-40.471,0.307,1943.000,125.350,-44.820,5.050,-18.430,1.310,126.820,0.200,286.060,919.000,801.000,0.100,13.600,4.790,-1.600,-0.790,1.050,-4.040,-7.790,4.000,-0.550,81.810,0.100,29.240,344.700,2.810
147.299,-5.944,132.000,69702.000,147.299,-5.944,0.230,417.000,135.490,-12.210,11.100,-21.140,2.470,159.230,0.190,49.060,780.000,301.000,0.100,0.100,10.360,-4.010,-2.310,0.880,-8.630,-21.450,8.030,-3.160,42.020,0.150,68.160,117.030,2.280
137.693,-3.063,4.000,698.000,136.862,-5.826,0.020,783.000,137.050,-4.670,-9.620,-158.430,-2.960,71.400,0.160,190.070,849.000,829.000,1.120,1.120,-8.940,-3.530,0.940,2.800,8.030,-173.120,-7.980,-0.960,22.490,0.000,27.850,75.800,1.840
146.025,-6.563,113.000,698.000,128.016,-35.371,0.189,1712.000,139.880,-31.010,7.070,26.850,4.030,-175.850,0.050,241.180,901.000,869.000,0.020,0.020,6.310,3.190,-4.020,-0.290,-3.710,51.900,2.290,2.920,10.360,0.010,2.230,99.050,2.000
142.215,-7.746,2.000,615.000,141.840,-9.100,0.070,2654.000,143.730,-5.550,9.520,35.640,6.770,156.640,0.010,209.720,847.000,829.000,6.030,7.790,7.740,5.550,-6.210,2.680,-8.390,80.060,1.450,8.260,33.810,0.000,39.940,132.830,1.920
135.820,-3.483,179.000,698.000,102.210,-41.948,0.286,1945.000,124.560,-45.330,3.510,-8.040,-0.580,-5.550,0.200,287.140,919.000,801.000,0.100,13.600,3.480,-0.490,0.580,-0.060,-4.090,-7.680,4.060,-0.550,75.180,0.070,21.980,288.460,2.780
139.211,-6.133,19.000,615.000,135.841,-18.202,0.178,961.000,130.080,-9.670,0.450,-62.390,-7.100,24.240,0.190,356.420,801.000,669.000,0.100,0.100,0.210,-0.400,6.470,2.910,-7.140,21.100,6.660,2.570,104.870,0.000,13.260,714.770,2.610
141.462,-7.003,28.000,615.000,137.007,-24.664,0.049,1816.000,137.870,-21.960,4.380,19.190,-4.810,-30.670,0.190,15.940,801.000,698.000,6.840,7.300,4.130,1.440,4.140,-2.450,-8.340,-7.360,8.270,-1.070,13.800,0.030,14.370,150.140,1.770
136.914,-3.135,146.000,698.000,111.109,-35.692,0.315,1707.000,132.450,-31.730,17.360,-23.430,9.510,129.490,0.200,250.650,919.000,499.000,15.350,23.630,15.930,-6.900,-6.050,7.340,-9.820,2.330,9.820,0.400,34.270,0.210,5.640,294.080,2.590
142.763,-4.959,31.000,698.000,139.237,-22.751,0.012,1933.000,139.030,-23.420,4.470,18.780,-3.630,-28.900,0.190,12.970,801.000,698.000,7.790,8.980,4.230,1.440,3.180,-1.760,-7.420,-2.840,7.410,-0.370,38.460,0.060,9.290,260.800,2.010
137.808,-3.517,90.000,698.000,127.076,-32.847,0.321,2054.000,148.420,-29.760,4.560,76.650,1.920,-154.460,0.040,235.490,901.000,869.000,0.020,0.020,1.050,4.430,-1.730,-0.830,3.670,100.660,-0.680,3.610,36.620,0.000,8.290,165.410,2.240
141.307,-6.555,200.000,615.000,109.081,-39.642,0.207,652.000,124.090,-37.560,-5.240,95.600,-4.770,-45.700,0.200,250.490,919.000,801.000,0.100,0.100,-0.510,5.210,3.330,-3.420,-3.370,32.330,2.840,1.800,49.460,0.000,7.140,357.450,2.590
140.907,-3.910,146.000,698.000,115.816,-37.157,0.254,1698.000,133.160,-33.410,17.730,-22.920,9.550,129.740,0.200,250.280,919.000,499.000,13.570,25.410,16.330,-6.900,-6.100,7.340,-10.170,2.250,10.160,0.400,35.470,0.220,4.440,275.200,2.600
147.184,-6.413,94.000,69702.000,147.184,-6.413,0.149,1455.000,145.420,-14.760,5.010,48.660,2.030,-177.530,0.190,256.330,901.000,609.000,0.100,0.100,3.310,3.760,-2.030,-0.090,-3.890,70.890,1.270,3.670,17.650,0.030,1.760,79.340,1.940
145.130,-7.184,84.000,615.000,137.512,-35.825,0.091,311.000,143.150,-33.430,5.980,47.110,5.220,-171.260,0.190,227.570,901.000,847.000,0.090,0.090,4.070,4.380,-5.160,-0.790,3.780,106.960,-1.100,3.610,35.660,0.050,33.940,317.230,2.250
138.755,-5.655,0.000,615.000,138.755,-5.655,0.067,2650.000,139.920,-1.990,5.130,48.260,6.010,129.900,0.190,194.410,847.000,829.000,3.220,3.220,3.420,3.830,-3.860,4.610,8.460,94.370,-0.650,8.430,21.870,0.040,31.190,90.530,1.830
135.500,-3.458,225.000,698.000,108.252,-29.278,0.292,1416.000,127.490,-29.020,3.500,34.490,2.010,-104.070,0.200,277.440,919.000,801.000,13.250,14.870,2.880,1.980,-0.490,-1.950,-2.400,0.740,2.400,0.030,26.200,0.030,2.010,190.530,2.260
143.292,-6.204,13.000,615.000,140.991,-14.537,0.132,2029.000,148.580,-12.750,6.970,-61.650,6.130,117.690,0.190,257.560,922.000,853.000,5.280,5.280,3.310,-6.140,-2.850,5.420,-0.850,-57.270,0.460,-0.710,23.610,0.040,18.440,93.310,1.850
139.221,-6.045,58.000,615.000,130.579,-34.538,0.175,2641.000,142.710,-34.100,0.000,0.000,-4.600,-41.630,0.180,64.940,836.000,836.000,0.090,13.060,0.000,0.000,3.440,-3.050,-4.600,-41.630,3.440,-3.050,13.020,0.000,47.290,199.060,1.760
137.415,-2.839,201.000,698.000,106.223,-34.630,0.258,1253.000,124.300,-36.980,5.230,61.030,-4.770,-80.940,0.200,285.110,919.000,801.000,13.250,23.790,2.530,4.570,0.750,-4.710,-3.310,-2.490,3.300,-0.140,47.180,0.040,8.570,334.680,2.550
146.387,-6.317,222.000,698.000,120.513,-34.036,0.127,1387.000,128.360,-30.960,3.620,66.160,-2.000,-69.850,0.200,241.580,919.000,801.000,11.680,17.630,1.470,3.320,0.690,-1.880,-2.600,33.760,2.160,1.440,28.720,0.020,0.160,147.900,2.220
137.353,-4.530,86.000,615.000,127.409,-33.907,0.329,1988.000,149.200,-29.670,5.530,76.530,1.880,-151.710,0.030,235.150,901.000,869.000,0.020,0.020,1.290,5.380,-1.660,-0.890,4.510,94.740,-0.370,4.500,44.200,0.000,12.800,179.650,2.310
139.367,-2.414,79.000,698.000,129.748,-31.232,0.185,1768.000,141.650,-28.660,4.440,-5.560,5.040,-140.940,0.200,69.420,780.000,678.000,2.230,2.230,4.410,-0.430,-3.920,-3.180,-3.620,-81.870,0.510,-3.590,58.710,0.080,85.420,257.380,2.420
137.547,-1.933,181.000,698.000,105.096,-40.787,0.255,1313.000,124.330,-44.900,8.550,24.510,5.550,-132.900,0.200,287.380,919.000,801.000,0.100,13.600,7.780,3.550,-3.780,-4.060,-4.060,-7.460,4.020,-0.530,74.350,0.150,23.920,442.910,2.780
136.021,-4.435,45.000,615.000,127.557,-30.302,0.317,1908.000,143.800,-19.460,-10.970,-148.230,-10.360,18.280,0.180,50.560,801.000,678.000,1.010,1.010,-9.330,-5.780,9.840,3.250,-2.600,-77.310,0.570,-2.540,12.270,0.000,33.690,105.420,1.840
136.370,-2.476,102.000,698.000,121.896,-31.519,0.346,1867.000,145.030,-29.970,10.770,41.070,6.760,-140.790,0.040,237.090,901.000,869.000,0.020,0.020,8.120,7.080,-5.240,-4.270,-4.030,44.330,2.880,2.810,19.040,0.020,1.240,118.290,2.050
146.544,-8.758,227.000,615.000,120.366,-35.528,0.144,1406.000,129.820,-32.830,3.730,54.560,-1.980,-78.530,0.190,248.230,919.000,801.000,8.580,18.750,2.160,3.040,0.390,-1.940,-2.790,23.280,2.560,1.100,24.600,0.020,-0.010,124.810,2.060
140.827,-5.828,56.000,615.000,133.007,-33.930,0.151,2583.000,143.430,-33.410,0.000,0.000,-5.690,-25.040,0.200,50.730,836.000,836.000,0.100,14.240,0.000,0.000,5.150,-2.410,-5.690,-25.040,5.150,-2.410,11.560,0.000,4.710,185.870,1.690
