lon,lat,age,plate_id,recon_lon,recon_lat,distance,sub_idx,trench_lon,trench_lat,conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,trench_norm,subducting_pid,trench_pid,dist_nearest_edge,dist_from_start,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,subduction_volume_km3y,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent,label
146.67,-7.46,4.0,698.0,145.944,-10.107,0.033,839.0,146.64,-8.34,-3.03,-148.05,5.66,151.49,0.18,202.16,849.0,829.0,8.47,11.41,-2.57,-1.6,-4.98,2.7,7.63,173.45,-7.58,0.87,29.93,0.0,19.96,136.7,1.85,1
145.86,-6.2,9.0,698.0,144.242,-12.046,0.033,825.0,145.23,-10.43,0.0,0.0,7.06,162.48,0.19,212.44,849.0,829.0,1.04,1.04,0.0,0.0,-6.73,2.12,7.06,162.48,-6.73,2.12,23.79,0.0,16.21,118.62,1.77,1
152.63,-3.13,1.0,847.0,153.35,-3.407,0.041,2535.0,153.31,-5.73,11.55,33.85,7.68,-108.16,0.16,19.06,849.0,830.0,1.07,1.07,9.59,6.43,-2.39,-7.3,-7.26,-2.83,7.26,-0.36,37.98,0.11,21.84,98.29,2.01,1
141.14,-5.21,1.0,615.0,140.941,-5.89,0.037,2642.0,141.61,-3.87,6.46,61.89,6.23,162.17,0.18,202.78,697.0,829.0,5.16,5.16,3.04,5.7,-5.93,1.91,8.07,111.71,-2.99,7.5,22.13,0.03,31.8,93.7,1.93,1
155.5,-6.33,3.0,847.0,157.648,-7.18,0.016,1331.0,157.25,-7.98,10.4,26.07,8.49,-112.09,0.17,43.85,849.0,847.0,6.86,11.06,9.34,4.57,-3.19,-7.87,-7.0,-28.11,6.18,-3.3,22.13,0.09,34.02,115.18,1.66,1
143.08,-5.46,6.0,615.0,141.916,-9.517,0.049,821.0,143.7,-7.34,-2.69,-168.95,5.17,141.15,0.2,217.98,849.0,829.0,3.59,3.59,-2.64,-0.51,-4.02,3.24,7.2,158.57,-6.7,2.63,27.03,0.0,24.5,98.58,1.8,1
146.88,-2.02,15.0,847.0,155.591,-4.856,0.025,1265.0,156.3,-6.08,-3.74,153.66,-3.55,-40.34,0.2,328.52,922.0,688.0,3.74,3.74,-3.35,1.66,2.71,-2.3,0.91,-135.57,-0.65,-0.63,40.95,0.0,6.69,115.86,2.1,1
145.17,-6.49,0.0,615.0,145.17,-6.49,0.031,2689.0,146.23,-5.08,6.14,7.3,8.55,127.4,0.19,220.15,697.0,829.0,4.53,10.32,6.09,0.78,-5.19,6.79,-7.55,85.28,0.62,7.52,2.42,0.02,14.52,65.62,1.01,1
141.73,-4.66,14.0,698.0,139.146,-13.651,0.138,1182.0,142.32,-6.38,10.11,44.27,6.47,-95.71,0.18,13.37,801.0,688.0,0.09,17.43,7.24,7.05,-0.64,-6.44,-6.64,5.41,6.61,0.63,133.84,0.14,60.3,450.21,2.79,1
153.61,-4.09,1.0,847.0,154.329,-4.369,0.028,2531.0,153.91,-5.93,10.71,42.35,7.44,-95.47,0.17,13.66,849.0,830.0,0.44,0.44,7.91,7.21,-0.71,-7.41,-7.22,2.49,7.22,0.31,34.5,0.09,25.25,97.34,1.92,1
