trench_lon,trench_lat,conv_rate_cm_yr,conv_angle_deg,trench_abs_rate_cm_yr,trench_abs_angle_deg,arc_len_deg,trench_norm_deg,subducting_pid,trench_pid,dist_nearest_edge_deg,dist_from_start_deg,conv_ortho_cm_yr,conv_paral_cm_yr,trench_abs_ortho_cm_yr,trench_abs_paral_cm_yr,subducting_abs_rate_cm_yr,subducting_abs_angle_deg,subducting_abs_ortho_cm_yr,subducting_abs_paral_cm_yr,seafloor_age_ma,subduction_volume_km3_yr,carbonate_sediment_thickness_m,total_sediment_thick_m,ocean_crust_carb_percent
6.84,44.64,-0.30,159.28,2.51,-134.10,0.03,180.30,701,307,0.01,0.01,-0.28,0.11,-1.75,-1.80,2.65,-139.97,-2.03,-1.70,14.92,0.00,91.13,536.32,1.53
6.92,44.63,-0.30,136.12,2.52,-157.09,0.08,203.30,701,307,0.07,0.07,-0.21,0.21,-2.32,-0.98,2.65,-162.94,-2.53,-0.78,14.92,0.00,91.13,536.32,1.53
6.97,44.61,-0.30,135.94,2.52,-157.11,0.00,203.33,701,307,0.11,0.11,-0.21,0.21,-2.32,-0.98,2.65,-162.95,-2.53,-0.78,14.92,0.00,91.13,536.32,1.53
7.02,44.59,-0.33,-132.37,2.37,-167.00,0.08,203.37,701,307036,0.15,0.15,-0.22,-0.25,-2.31,-0.53,2.65,-162.96,-2.53,-0.78,14.92,0.00,91.13,536.32,1.53
7.18,44.60,-0.33,-91.19,2.37,-125.50,0.15,161.96,701,307036,0.27,0.27,-0.01,-0.33,-1.38,-1.93,2.65,-121.49,-1.39,-2.26,14.92,0.00,91.13,536.32,1.53
7.38,44.64,0.44,-37.81,2.64,-131.13,0.15,162.10,701,307037,0.42,0.42,0.35,-0.27,-1.74,-1.99,2.66,-121.58,-1.39,-2.26,14.92,0.00,91.13,536.32,1.53
7.60,44.67,0.44,-51.49,2.65,-144.56,0.17,175.66,701,307037,0.58,0.58,0.27,-0.35,-2.16,-1.53,2.66,-135.07,-1.88,-1.88,14.92,0.00,91.13,536.32,1.53
7.84,44.69,0.36,-21.79,2.83,-141.87,0.17,175.83,701,307038,0.75,0.75,0.34,-0.13,-2.22,-1.74,2.66,-135.16,-1.89,-1.88,14.92,0.00,91.13,536.32,1.53
8.07,44.64,0.36,-58.17,2.83,-177.93,0.20,212.04,701,307038,0.93,0.93,0.19,-0.31,-2.83,-0.10,2.67,-171.26,-2.64,-0.41,14.92,0.00,91.13,536.32,1.53
8.31,44.54,0.16,-31.45,2.80,-173.34,0.20,212.21,701,307039,1.13,1.13,0.14,-0.08,-2.78,-0.32,2.67,-171.28,-2.64,-0.41,14.92,0.00,91.13,536.32,1.53
8.50,44.52,0.16,34.67,2.80,-107.16,0.13,146.14,701,307039,1.29,1.29,0.13,0.09,-0.83,-2.68,2.68,-105.13,-0.70,-2.58,14.92,0.00,91.13,536.32,1.53
8.66,44.60,0.33,51.22,2.99,-107.71,0.13,146.25,701,307040,1.43,1.43,0.21,0.26,-0.91,-2.84,2.68,-105.22,-0.70,-2.58,14.92,0.00,91.13,536.32,1.53
8.82,44.65,0.33,30.58,2.99,-128.65,0.12,167.27,701,307040,1.55,1.55,0.28,0.17,-1.87,-2.33,2.68,-126.20,-1.58,-2.16,14.92,0.00,91.13,536.32,1.53
