trench_lon,trench_lat,conv_rate_cm_yr,conv_angle_deg,trench_abs_rate_cm_yr,trench_abs_angle_deg,arc_len_deg,trench_norm_deg,subducting_pid,trench_pid,dist_nearest_edge_deg,dist_from_start_deg,conv_ortho_cm_yr,conv_paral_cm_yr,trench_abs_ortho_cm_yr,trench_abs_paral_cm_yr,subducting_abs_rate_cm_yr,subducting_abs_angle_deg,subducting_abs_ortho_cm_yr,subducting_abs_paral_cm_yr,seafloor_age_ma,subduction_volume_km3_yr,carbonate_sediment_thickness_m,total_sediment_thick_m,ocean_crust_carb_percent
5.93,44.01,-0.29,153.64,2.55,-135.70,0.03,181.00,701,307,0.01,0.01,-0.26,0.13,-1.83,-1.78,2.66,-141.43,-2.08,-1.66,9.63,0.00,61.00,458.55,1.42
6.05,43.97,-0.28,127.27,2.56,-161.65,0.16,206.99,701,307,0.11,0.11,-0.17,0.23,-2.43,-0.80,2.66,-167.36,-2.60,-0.58,9.63,0.00,61.00,458.55,1.42
6.19,43.92,-0.22,-111.14,2.55,-171.52,0.06,207.08,701,307036,0.22,0.22,-0.08,-0.21,-2.52,-0.38,2.67,-167.37,-2.60,-0.58,9.63,0.00,61.00,458.55,1.42
6.29,43.88,-0.23,-111.50,2.55,-171.53,0.10,207.15,701,307036,0.30,0.30,-0.08,-0.21,-2.52,-0.38,2.67,-167.38,-2.60,-0.58,9.63,0.00,61.00,458.55,1.42
6.46,43.86,0.23,-87.60,2.55,-147.03,0.16,182.76,701,307036,0.43,0.43,0.01,-0.23,-2.14,-1.39,2.67,-142.92,-2.13,-1.61,9.63,0.00,61.00,458.55,1.42
6.68,43.85,0.45,-57.11,2.68,-152.49,0.16,182.91,701,307037,0.59,0.59,0.24,-0.37,-2.38,-1.24,2.68,-142.98,-2.14,-1.61,9.63,0.00,61.00,458.55,1.42
6.89,43.84,0.44,-54.78,2.68,-149.87,0.13,180.42,701,307037,0.74,0.74,0.26,-0.36,-2.32,-1.35,2.68,-140.41,-2.07,-1.71,9.63,0.00,61.00,458.55,1.42
7.07,43.84,0.37,-25.24,2.86,-147.18,0.13,180.55,701,307038,0.87,0.87,0.34,-0.16,-2.41,-1.55,2.68,-140.47,-2.07,-1.71,9.63,0.00,61.00,458.55,1.42
7.26,43.80,0.37,-53.29,2.86,-174.97,0.16,208.46,701,307038,1.02,1.02,0.22,-0.30,-2.85,-0.25,2.69,-168.29,-2.63,-0.55,9.63,0.00,61.00,458.55,1.42
7.45,43.73,0.17,-26.49,2.83,-170.45,0.16,208.59,701,307039,1.17,1.17,0.16,-0.08,-2.79,-0.47,2.69,-168.31,-2.64,-0.55,9.63,0.00,61.00,458.55,1.42
7.61,43.72,0.17,28.45,2.83,-115.47,0.11,153.70,701,307039,1.30,1.30,0.15,0.08,-1.22,-2.56,2.70,-113.36,-1.07,-2.47,9.63,0.00,61.00,458.55,1.42
7.74,43.76,0.35,43.32,3.02,-115.98,0.11,153.79,701,307040,1.41,1.41,0.25,0.24,-1.32,-2.71,2.70,-113.42,-1.07,-2.47,9.63,0.00,61.00,458.55,1.42
7.88,43.79,0.35,21.66,3.02,-137.83,0.12,175.73,701,307040,1.52,1.52,0.32,0.13,-2.24,-2.03,2.70,-135.31,-1.92,-1.90,9.63,0.00,61.00,458.55,1.42
8.04,43.80,0.45,19.51,3.11,-138.82,0.12,175.84,701,307041,1.63,1.63,0.42,0.15,-2.34,-2.05,2.70,-135.37,-1.92,-1.90,9.63,0.00,61.00,458.55,1.42
8.19,43.77,0.45,-20.38,3.11,-178.72,0.12,215.83,701,307041,1.75,1.75,0.42,-0.16,-3.11,-0.07,2.70,-175.28,-2.70,-0.22,9.63,0.00,61.00,458.55,1.42
8.32,43.70,0.44,-20.48,3.12,-178.72,0.12,215.92,701,307041,1.87,1.87,0.42,-0.16,-3.12,-0.07,2.71,-175.29,-2.70,-0.22,9.63,0.00,61.00,458.55,1.42
8.46,43.63,0.36,21.80,3.06,-173.25,0.12,216.01,701,307042,1.99,1.99,0.34,0.13,-3.04,-0.36,2.71,-175.30,-2.70,-0.22,9.63,0.00,61.00,458.55,1.42
8.59,43.56,0.36,21.93,3.06,-173.26,0.12,216.10,701,307042,2.11,2.11,0.33,0.13,-3.04,-0.36,2.72,-175.30,-2.71,-0.22,9.63,0.00,61.00,458.55,1.42
8.79,43.52,0.36,54.77,3.06,-140.73,0.20,183.70,701,307042,2.26,2.26,0.21,0.29,-2.37,-1.94,2.72,-142.81,-2.17,-1.64,9.63,0.00,61.00,458.55,1.42
9.06,43.51,0.61,38.82,3.34,-142.52,0.20,183.89,701,307043,2.46,2.46,0.48,0.39,-2.65,-2.03,2.72,-142.89,-2.17,-1.64,9.63,0.00,61.00,458.55,1.42
9.31,43.47,0.61,22.88,3.34,-158.64,0.18,200.16,701,307043,2.65,2.65,0.56,0.24,-3.11,-1.22,2.73,-159.05,-2.55,-0.98,9.63,0.00,61.00,458.55,1.42
9.54,43.41,0.78,24.39,3.51,-158.26,0.18,200.32,701,307044,2.82,2.82,0.71,0.32,-3.26,-1.30,2.73,-159.09,-2.55,-0.98,9.63,0.00,61.00,458.55,1.42
9.71,43.32,0.78,-8.23,3.51,169.07,0.14,233.10,701,307044,2.98,2.98,0.77,-0.11,-3.45,0.67,2.74,168.24,-2.68,0.56,9.63,0.00,61.00,458.55,1.42
9.83,43.21,0.77,-8.26,3.52,169.08,0.14,233.18,701,307044,3.12,3.12,0.76,-0.11,-3.45,0.67,2.74,168.26,-2.69,0.56,9.63,0.00,61.00,458.55,1.42
9.94,43.09,0.81,-1.25,3.54,170.70,0.14,233.26,701,307045,3.27,3.27,0.80,-0.02,-3.50,0.57,2.75,168.28,-2.69,0.56,9.63,0.00,61.00,458.55,1.42
10.06,42.98,0.80,-1.26,3.54,170.70,0.14,233.34,701,307045,3.41,3.41,0.80,-0.02,-3.50,0.57,2.75,168.29,-2.69,0.56,9.63,0.00,61.00,458.55,1.42
10.19,42.88,0.80,8.07,3.55,-179.98,0.14,224.11,701,307045,3.55,3.55,0.79,0.11,-3.55,-0.00,2.76,177.62,-2.75,0.11,9.63,0.00,61.00,458.55,1.42
10.33,42.78,0.80,8.10,3.55,-179.98,0.14,224.20,701,307045,3.69,3.69,0.79,0.11,-3.55,-0.00,2.76,177.63,-2.76,0.11,9.63,0.00,61.00,458.55,1.42
10.46,42.68,0.79,8.12,3.55,-179.98,0.14,224.29,701,307045,3.83,3.83,0.79,0.11,-3.55,-0.00,2.76,177.63,-2.76,0.11,9.63,0.00,61.00,458.55,1.42
10.60,42.58,1.20,31.40,3.83,-172.25,0.14,224.39,701,307046,3.97,3.97,1.03,0.63,-3.79,-0.52,2.77,177.63,-2.77,0.11,9.63,0.01,61.00,458.55,1.42
10.74,42.48,1.20,31.46,3.83,-172.25,0.14,224.48,701,307046,4.12,4.12,1.02,0.63,-3.79,-0.52,2.77,177.64,-2.77,0.11,9.63,0.01,61.00,458.55,1.42
10.88,42.38,1.20,31.53,3.83,-172.25,0.14,224.57,701,307046,4.26,4.26,1.02,0.63,-3.80,-0.52,2.78,177.64,-2.77,0.11,9.63,0.01,61.00,458.55,1.42
10.97,42.25,1.20,-2.45,3.83,153.74,0.15,258.64,701,307046,4.41,4.41,1.20,-0.05,-3.44,1.70,2.78,143.66,-2.24,1.65,9.63,0.01,61.00,458.55,1.42
11.01,42.11,1.19,-2.46,3.83,153.75,0.15,258.67,701,307046,4.56,4.56,1.19,-0.05,-3.44,1.70,2.78,143.71,-2.24,1.65,9.63,0.01,61.00,458.55,1.42
