index,lon,lat,age,plate_id
0,160.14,-9.58,2,847
1,146.67,-7.46,4,698
2,145.86,-6.2,9,698
3,152.63,-3.13,1,847
4,141.14,-5.21,1,615
5,155.5,-6.33,3,847
6,143.08,-5.46,6,615
7,151.97,-2.75,4,847
8,152.05,-4.61,24,830
9,147.13,-8.56,5,698
10,152.81,-10.66,4,836
11,152.72,-9.19,12,836
12,146.88,-2.02,15,847
13,145.17,-6.49,0,615
14,141.73,-4.66,14,698
15,150.79,-9.42,3,836
16,153.61,-4.09,1,847
17,146.72,-7.42,4,698
18,147.58,-9.3,4,698
19,160.03,-9.78,2,847
20,151.65,-3.18,34,847
21,160.16,-9.61,23,847
22,142.97,-5.54,0,615
23,146.94,-2.16,14,847
24,150.47,-5.97,24,830
25,141.73,-4.65,14,698
26,150.38,-5.97,25,830
27,151.16,-9.99,0,836
28,150.02,-5.72,24,830
29,152.1,-3.79,0,847
30,151.88,-3.71,0,847
31,141.33,-5.07,2,615
32,146.45,-6.88,9,698
33,150.5,-9.36,5,836
34,146.66,-7.36,4,698
35,145.13,-5.74,7,698
36,142.53,-5.95,2,615
37,151.74,-5.04,25,830
38,156.04,-6.84,4,847
39,159.73,-9.37,24,847
40,146.71,-8.25,5,615
41,158.07,-8.75,3,847
42,157.52,-8.08,4,847
43,159.83,-9.43,24,847
44,160.08,-9.69,2,847
45,157.79,-8.47,3,847
46,146.28,-6.75,12,698
