lon,lat,age,plate_id,recon_lon,recon_lat,distance_deg,sub_idx,trench_lon,trench_lat,conv_rate_cm_yr,conv_angle_deg,trench_abs_rate_cm_yr,trench_abs_angle_deg,arc_len_deg,trench_norm_deg,subducting_pid,trench_pid,dist_nearest_edge_deg,dist_from_start_deg,conv_ortho_cm_yr,conv_paral_cm_yr,trench_abs_ortho_cm_yr,trench_abs_paral_cm_yr,subducting_abs_rate_cm_yr,subducting_abs_angle_deg,subducting_abs_ortho_cm_yr,subducting_abs_paral_cm_yr,seafloor_age_ma,subduction_volume_km3_yr,carbonate_sediment_thickness_m,total_sediment_thick_m,ocean_crust_carb_percent
160.140,-9.580,2.000,847.000,161.298,-9.906,0.012,1806.000,160.850,-10.470,9.870,38.600,6.560,-106.420,0.170,32.720,801.000,847.000,5.940,5.940,7.720,6.160,-1.850,-6.290,-5.880,-1.180,5.880,-0.120,68.370,0.120,50.000,238.880,2.180
146.670,-7.460,4.000,698.000,145.429,-9.502,0.052,1697.000,146.060,-6.570,7.380,10.550,1.950,128.100,0.190,9.860,849.000,69702.000,5.430,7.410,7.250,1.350,-1.200,1.530,-6.690,22.140,6.200,2.520,37.370,0.100,119.910,161.460,2.030
145.860,-6.200,9.000,698.000,143.073,-10.665,0.027,2257.000,144.090,-9.460,-7.190,125.790,-9.280,-13.540,0.190,355.090,849.000,688.000,0.100,1.440,-4.200,5.830,9.020,-2.170,-6.070,37.630,4.810,3.700,30.000,0.000,122.570,145.090,1.950
152.630,-3.130,1.000,847.000,153.229,-3.266,0.013,1872.000,152.730,-3.790,9.820,14.940,6.790,-118.890,0.170,41.840,697.000,847.000,1.330,5.500,9.490,2.530,-3.280,-5.940,-7.080,-28.690,6.210,-3.400,2.040,0.030,11.170,66.830,0.740
141.140,-5.210,1.000,615.000,140.819,-5.733,0.048,3143.000,142.180,-3.340,10.000,30.740,6.870,168.900,0.190,205.250,847.000,697.000,1.920,11.070,8.600,5.110,-6.740,1.320,-6.710,74.030,1.850,6.450,34.930,0.110,148.850,157.180,1.930
155.500,-6.330,3.000,847.000,157.263,-6.778,0.015,1862.000,156.720,-7.460,10.410,33.460,6.650,-111.870,0.190,36.720,849.000,847.000,4.190,11.700,8.690,5.740,-2.480,-6.170,-6.240,-3.900,6.230,-0.420,67.550,0.160,144.740,237.590,2.170
143.080,-5.460,6.000,615.000,141.159,-8.581,0.042,2362.000,142.700,-6.730,-7.540,122.240,-9.830,-18.670,0.180,2.110,849.000,69702.000,0.090,11.130,-4.020,6.380,9.320,-3.150,-6.220,31.590,5.290,3.260,33.440,0.000,129.800,137.770,1.980
151.970,-2.750,4.000,847.000,154.365,-3.306,0.042,1909.000,153.530,-5.560,10.700,46.880,6.710,-98.630,0.190,22.420,849.000,847.000,3.290,16.080,7.320,7.810,-1.010,-6.630,-6.440,10.710,6.320,1.200,27.270,0.080,155.630,132.850,1.760
152.050,-4.610,24.000,830.000,158.973,-4.060,0.010,1294.000,159.370,-3.620,7.860,66.060,1.380,-92.890,0.190,222.330,901.000,847.000,3.970,3.970,3.190,7.180,-0.070,-1.370,-6.590,61.780,3.120,5.810,131.090,0.070,5.060,176.650,2.770
147.130,-8.560,5.000,698.000,145.596,-11.108,0.082,1605.000,145.930,-6.440,9.690,42.130,3.330,-118.110,0.190,3.200,849.000,69702.000,5.480,6.880,7.190,6.500,-1.570,-2.930,-6.660,28.730,5.840,3.200,34.800,0.090,130.700,157.040,2.000
