lon,lat,age,plate_id,recon_lon,recon_lat,distance_deg,sub_idx,trench_lon,trench_lat,conv_rate_cm_yr,conv_angle_deg,trench_abs_rate_cm_yr,trench_abs_angle_deg,arc_len_deg,trench_norm_deg,subducting_pid,trench_pid,dist_nearest_edge_deg,dist_from_start_deg,conv_ortho_cm_yr,conv_paral_cm_yr,trench_abs_ortho_cm_yr,trench_abs_paral_cm_yr,subducting_abs_rate_cm_yr,subducting_abs_angle_deg,subducting_abs_ortho_cm_yr,subducting_abs_paral_cm_yr,seafloor_age_ma,subduction_volume_km3_yr,carbonate_sediment_thickness_m,total_sediment_thick_m,ocean_crust_carb_percent
160.451,-8.410,0.000,847.000,160.451,-8.410,0.033,2974.000,159.420,-9.970,9.980,36.790,6.570,-108.200,0.160,33.720,801.000,847.000,5.660,6.690,7.990,5.980,-2.050,-6.240,-5.970,-2.420,5.960,-0.250,1.520,0.020,758.830,144.990,0.630
120.476,-0.260,0.000,669.000,120.476,-0.260,0.030,1715.000,120.260,1.420,4.400,-26.710,2.370,179.450,0.180,173.680,645.000,669.000,0.990,0.990,3.930,-1.980,-2.370,0.020,-2.500,-50.860,1.580,-1.940,43.000,0.050,179.460,486.960,2.090
123.095,0.050,1.000,669.000,123.093,-0.213,0.026,1729.000,123.000,1.250,4.920,-22.650,2.960,-178.570,0.190,174.300,645.000,669.000,2.800,3.940,4.540,-1.890,-2.960,-0.070,-2.530,-50.740,1.600,-1.960,37.560,0.060,165.920,336.850,2.000
152.633,-3.640,1.000,847.000,153.230,-3.777,0.006,1870.000,152.980,-4.020,9.810,14.960,6.780,-118.770,0.170,41.820,697.000,847.000,1.670,5.150,9.470,2.530,-3.260,-5.940,-7.080,-28.670,6.210,-3.400,2.040,0.030,11.170,66.830,0.740
167.763,-12.307,2.000,857.000,167.253,-13.136,0.000,1673.000,167.230,-13.140,10.920,-3.020,7.540,-156.490,0.190,74.080,801.000,827.000,2.010,2.010,10.910,-0.580,-6.910,-3.010,-5.390,-43.130,3.930,-3.690,68.740,0.190,18.480,221.120,2.190
128.573,-6.655,2.000,676.000,128.210,-6.392,0.026,2644.000,128.620,-7.850,5.840,31.030,2.090,94.960,0.150,344.880,801.000,651.000,4.520,4.520,5.000,3.010,-0.180,2.080,-7.010,46.800,4.800,5.110,3.030,0.010,6.380,303.610,0.890
127.343,0.933,3.000,679.000,127.787,0.302,0.006,1092.000,127.450,0.300,3.300,-64.820,2.810,-135.530,0.190,100.410,781.000,679.000,3.350,3.350,1.400,-2.990,-2.010,-1.970,4.940,-97.550,-0.650,-4.890,98.410,0.030,33.960,482.800,2.620
123.622,-0.453,3.000,667.000,123.993,-1.186,0.012,1979.000,124.630,-1.370,-1.280,-179.280,-3.380,74.550,0.190,291.630,781.000,669.000,0.470,5.050,-1.280,-0.020,0.900,3.250,3.220,95.450,-0.310,3.200,60.730,0.000,128.510,362.700,2.160
130.392,-5.390,4.000,684.000,129.059,-7.536,0.003,2752.000,129.180,-7.680,5.760,30.770,2.120,91.690,0.160,345.750,801.000,651.000,2.860,2.860,4.950,2.950,-0.060,2.120,-7.040,46.270,4.870,5.090,0.830,0.010,74.380,296.780,0.650
169.754,-15.919,4.000,857.000,168.840,-17.534,0.021,3154.000,169.940,-17.000,13.300,11.280,9.920,-149.930,0.200,58.670,801.000,827.000,1.980,7.430,13.040,2.600,-8.590,-4.970,-5.080,-29.770,4.410,-2.520,39.390,0.190,121.710,163.980,2.070
146.324,-6.439,5.000,698.000,144.753,-8.999,0.046,1610.000,144.980,-6.390,8.770,48.730,2.940,-93.650,0.200,2.410,849.000,69702.000,4.530,7.820,5.790,6.600,-0.190,-2.940,-6.690,29.470,5.820,3.290,36.120,0.080,130.700,157.040,2.020
148.586,1.642,5.000,689.000,148.519,-1.750,0.047,2189.000,151.070,-0.950,9.450,-67.670,-10.460,72.230,0.200,272.090,901.000,689.000,0.100,6.500,3.590,-8.740,3.190,9.960,-6.910,10.320,6.790,1.240,149.360,0.080,5.330,253.830,2.820
126.262,-5.909,6.000,681.000,124.157,-7.757,0.014,2851.000,124.350,-8.520,5.810,22.990,2.140,98.170,0.200,351.510,801.000,651.000,6.460,6.460,5.350,2.270,-0.300,2.120,-6.680,41.290,5.020,4.410,141.760,0.120,42.230,1530.850,2.810
165.254,-10.401,6.000,827.000,168.742,-11.065,0.015,1775.000,168.990,-11.880,-9.150,99.130,-6.630,-52.750,0.180,341.540,801.000,847.000,0.090,0.090,-1.450,9.030,4.010,-5.280,-4.570,55.760,2.570,3.780,36.240,0.000,124.070,129.870,2.040
159.725,-7.305,7.000,901.000,163.818,-8.487,0.043,1753.000,162.800,-10.710,9.450,61.950,-6.590,-87.960,0.010,15.200,801.000,847.000,7.590,7.590,4.450,8.340,0.230,-6.580,-5.020,20.680,4.700,1.770,64.650,0.010,114.650,203.930,2.200
121.058,-1.994,7.000,565.000,121.636,-3.675,0.044,1971.000,124.140,-3.210,5.590,4.390,-3.480,77.650,0.170,295.810,781.000,669.000,0.090,5.850,5.580,0.430,0.740,3.400,-7.360,31.900,6.250,3.890,31.870,0.060,137.050,245.580,1.960
153.480,-12.983,8.000,836.000,151.296,-16.764,0.083,3155.000,151.890,-12.040,0.000,0.000,5.610,-154.410,0.190,186.850,849.000,615.000,3.410,3.410,0.000,0.000,-5.060,-2.420,5.610,-154.410,-5.060,-2.420,31.850,0.000,124.060,148.290,1.970
153.191,-3.314,8.000,847.000,157.959,-4.506,0.041,1777.000,156.930,-6.590,10.120,51.600,6.710,-97.920,0.190,23.100,849.000,847.000,5.890,15.540,6.290,7.940,-0.920,-6.640,-5.540,13.590,5.380,1.300,40.910,0.090,45.910,157.770,2.160
152.254,-13.699,9.000,801.000,149.822,-17.955,0.097,3225.000,149.430,-12.380,0.000,0.000,5.720,-146.080,0.200,177.980,849.000,615.000,1.270,1.270,0.000,0.000,-4.740,-3.190,5.720,-146.080,-4.740,-3.190,38.810,0.000,69.710,169.280,2.130
162.218,-7.961,9.000,847.000,167.466,-9.573,0.055,1781.000,165.600,-12.160,9.140,46.070,6.550,-104.390,0.170,32.850,849.000,847.000,5.970,5.970,6.340,6.590,-1.630,-6.350,-4.740,2.950,4.740,0.240,46.070,0.090,128.890,157.480,2.160
124.758,1.139,10.000,669.000,124.589,-1.938,0.010,2007.000,124.990,-2.340,4.700,-46.310,-11.700,64.530,0.170,313.150,781.000,669.000,1.540,3.950,3.250,-3.400,5.030,10.570,-10.930,42.030,8.120,7.320,107.830,0.060,42.490,707.010,2.300
151.146,-8.917,10.000,836.000,148.239,-13.656,0.014,3182.000,148.150,-12.850,0.000,0.000,6.590,-153.090,0.200,177.940,849.000,615.000,0.290,0.290,0.000,0.000,-5.880,-2.980,6.590,-153.090,-5.880,-2.980,39.620,0.000,87.450,171.560,2.160
122.805,-3.607,11.000,566.000,121.407,-2.768,0.019,1812.000,121.280,-3.830,1.170,68.190,-6.260,21.280,0.200,1.400,801.000,669.000,2.920,5.240,0.440,1.090,5.840,2.270,-7.120,28.740,6.240,3.420,111.170,0.010,128.590,523.030,2.440
133.183,-4.817,11.000,684.000,129.613,-10.608,0.081,1114.000,131.780,-6.510,7.110,7.800,12.710,-117.470,0.180,76.680,781.000,679.000,0.090,0.090,7.040,0.970,-5.860,-11.280,-10.410,-84.290,1.040,-10.360,106.810,0.140,46.650,749.810,2.290
154.444,-2.030,12.000,901.000,161.655,-3.960,0.069,1731.000,159.990,-7.570,6.150,-4.030,1.540,117.590,0.190,23.710,849.000,847.000,7.530,15.390,6.130,-0.430,-0.710,1.370,-5.490,9.790,5.410,0.930,62.190,0.100,40.860,185.440,2.240
160.053,-6.884,12.000,901.000,167.099,-9.017,0.052,1690.000,165.770,-11.670,5.530,-7.880,1.530,114.030,0.140,24.700,849.000,847.000,8.300,8.300,5.480,-0.760,-0.620,1.400,-4.890,7.500,4.850,0.640,58.000,0.070,41.230,167.480,2.130
