lon,lat,age,plate_id,recon_lon,recon_lat,distance_deg,sub_idx,trench_lon,trench_lat,conv_rate_cm_yr,conv_angle_deg,trench_abs_rate_cm_yr,trench_abs_angle_deg,arc_len_deg,trench_norm_deg,subducting_pid,trench_pid,dist_nearest_edge_deg,dist_from_start_deg,conv_ortho_cm_yr,conv_paral_cm_yr,trench_abs_ortho_cm_yr,trench_abs_paral_cm_yr,subducting_abs_rate_cm_yr,subducting_abs_angle_deg,subducting_abs_ortho_cm_yr,subducting_abs_paral_cm_yr,seafloor_age_ma,subduction_volume_km3_yr,carbonate_sediment_thickness_m,total_sediment_thick_m,ocean_crust_carb_percent
154.000,-22.880,18.000,801.000,150.614,-31.242,0.205,2717.000,153.310,-19.730,0.000,0.000,-1.610,-47.030,0.190,189.340,922.000,853.000,5.170,12.470,0.000,0.000,1.100,-1.180,-1.610,-47.030,1.100,-1.180,35.560,0.000,65.180,181.740,2.100
155.000,-22.880,18.000,801.000,151.686,-31.151,0.200,2729.000,155.610,-20.240,0.000,0.000,-1.610,-56.690,0.180,198.220,922.000,853.000,2.940,14.700,0.000,0.000,0.880,-1.350,-1.610,-56.690,0.880,-1.350,29.450,0.000,65.980,140.730,2.050
156.000,-22.880,18.000,866.000,152.756,-31.058,0.193,2734.000,156.580,-20.510,0.000,0.000,-1.610,-55.060,0.190,196.250,922.000,853.000,1.990,15.650,0.000,0.000,0.920,-1.320,-1.610,-55.060,0.920,-1.320,18.670,0.000,106.500,108.550,1.780
157.000,-22.880,18.000,866.000,153.826,-30.962,0.186,2745.000,158.470,-21.140,0.000,0.000,-1.610,-66.870,0.180,207.350,922.000,853.000,0.090,17.550,0.000,0.000,0.630,-1.480,-1.610,-66.870,0.630,-1.480,18.670,0.000,106.500,108.550,1.780
150.000,-21.880,18.000,801.000,146.215,-30.581,0.214,2703.000,150.730,-18.970,0.000,0.000,-1.610,-55.800,0.190,198.900,922.000,853.000,7.720,9.920,0.000,0.000,0.900,-1.330,-1.610,-55.800,0.900,-1.330,26.020,0.000,113.660,188.040,1.970
151.000,-21.880,18.000,801.000,147.289,-30.501,0.208,2708.000,151.680,-19.270,0.000,0.000,-1.610,-55.770,0.190,198.590,922.000,853.000,6.770,10.870,0.000,0.000,0.910,-1.330,-1.610,-55.770,0.910,-1.330,26.020,0.000,42.670,188.040,1.970
152.000,-21.880,18.000,801.000,148.361,-30.419,0.201,2710.000,152.050,-19.390,0.000,0.000,-1.610,-53.910,0.170,196.620,922.000,853.000,6.400,11.240,0.000,0.000,0.950,-1.300,-1.610,-53.910,0.950,-1.300,26.020,0.000,42.670,188.040,1.970
153.000,-21.880,18.000,801.000,149.432,-30.334,0.194,2716.000,153.120,-19.690,0.000,0.000,-1.610,-53.890,0.170,196.270,922.000,853.000,5.350,12.290,0.000,0.000,0.950,-1.300,-1.610,-53.890,0.950,-1.300,35.560,0.000,65.180,181.740,2.100
154.000,-21.880,18.000,801.000,150.502,-30.246,0.189,2717.000,153.310,-19.730,0.000,0.000,-1.610,-47.030,0.190,189.340,922.000,853.000,5.170,12.470,0.000,0.000,1.100,-1.180,-1.610,-47.030,1.100,-1.180,35.560,0.000,65.180,181.740,2.100
155.000,-21.880,18.000,801.000,151.570,-30.156,0.184,2718.000,153.510,-19.760,0.000,0.000,-1.610,-47.020,0.190,189.270,922.000,853.000,4.980,12.660,0.000,0.000,1.100,-1.180,-1.610,-47.020,1.100,-1.180,35.560,0.000,65.180,181.740,2.100
156.000,-21.880,18.000,866.000,152.638,-30.063,0.177,2731.000,156.000,-20.350,0.000,0.000,-1.610,-55.060,0.190,196.460,922.000,853.000,2.560,15.080,0.000,0.000,0.920,-1.320,-1.610,-55.060,0.920,-1.320,29.450,0.000,65.980,140.730,2.050
157.000,-21.880,18.000,866.000,153.704,-29.967,0.171,2734.000,156.580,-20.510,0.000,0.000,-1.610,-55.060,0.190,196.250,922.000,853.000,1.990,15.650,0.000,0.000,0.920,-1.320,-1.610,-55.060,0.920,-1.320,18.670,0.000,106.500,108.550,1.780
158.000,-21.880,18.000,866.000,154.768,-29.869,0.163,2745.000,158.470,-21.140,0.000,0.000,-1.610,-66.870,0.180,207.350,922.000,853.000,0.090,17.550,0.000,0.000,0.630,-1.480,-1.610,-66.870,0.630,-1.480,18.670,0.000,106.500,108.550,1.780
148.000,-20.880,18.000,801.000,143.975,-29.734,0.214,2698.000,149.800,-18.650,0.000,0.000,-1.610,-67.400,0.190,210.770,922.000,853.000,8.660,8.980,0.000,0.000,0.620,-1.480,-1.610,-67.400,0.620,-1.480,26.020,0.000,113.660,188.040,1.970
149.000,-20.880,18.000,801.000,145.047,-29.660,0.206,2699.000,149.980,-18.720,0.000,0.000,-1.610,-55.820,0.190,199.140,922.000,853.000,8.470,9.170,0.000,0.000,0.900,-1.330,-1.610,-55.820,0.900,-1.330,26.020,0.000,113.660,188.040,1.970
150.000,-20.880,18.000,801.000,146.118,-29.584,0.199,2700.000,150.170,-18.790,0.000,0.000,-1.610,-55.820,0.190,199.080,922.000,853.000,8.280,9.360,0.000,0.000,0.900,-1.330,-1.610,-55.820,0.900,-1.330,26.020,0.000,113.660,188.040,1.970
151.000,-20.880,18.000,801.000,147.188,-29.505,0.192,2705.000,151.110,-19.090,0.000,0.000,-1.610,-55.780,0.190,198.780,922.000,853.000,7.340,10.300,0.000,0.000,0.900,-1.330,-1.610,-55.780,0.900,-1.330,26.020,0.000,42.670,188.040,1.970
152.000,-20.880,18.000,801.000,148.257,-29.423,0.185,2710.000,152.050,-19.390,0.000,0.000,-1.610,-53.910,0.170,196.620,922.000,853.000,6.400,11.240,0.000,0.000,0.950,-1.300,-1.610,-53.910,0.950,-1.300,26.020,0.000,42.670,188.040,1.970
153.000,-20.880,18.000,801.000,149.325,-29.338,0.178,2713.000,152.580,-19.540,0.000,0.000,-1.610,-53.900,0.170,196.450,922.000,853.000,5.880,11.760,0.000,0.000,0.950,-1.300,-1.610,-53.900,0.950,-1.300,31.440,0.000,42.670,147.290,2.090
